epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.588,1.19621,4.90511,1.14211,0.85055,0.1039,0.07322,0.04672,1.43771,4.20637,1.12569,9.48095e-05,9.48095e-05,9.48095e-05
2,450.334,1.09312,3.56668,1.06625,0.92026,0.12071,0.13321,0.08691,1.28385,3.32631,1.11316,0.00018826,0.00018826,0.00018826
3,1120.11,1.07272,3.09248,1.05645,0.79231,0.15077,0.17204,0.11507,1.26257,2.78755,1.17417,0.000279824,0.000279824,0.000279824
4,1239.29,1.08798,2.732,1.07141,0.80583,0.18041,0.20166,0.13149,1.23637,2.47818,1.1085,0.000277506,0.000277506,0.000277506
5,1354.02,1.043,2.42245,1.05557,0.77372,0.19839,0.21076,0.13809,1.17623,2.59513,1.10056,0.000274674,0.000274674,0.000274674
6,5992.94,1.00135,2.18877,1.04,0.60008,0.24276,0.24879,0.16246,1.12355,2.01524,1.08605,0.000271843,0.000271843,0.000271843
7,6104.07,0.99404,1.92763,1.04419,0.66037,0.25574,0.26106,0.17165,1.10613,1.87123,1.07775,0.000269012,0.000269012,0.000269012
8,6349.48,0.98612,1.76403,1.02846,0.64843,0.25775,0.28156,0.18306,1.08836,1.88857,1.04274,0.00026618,0.00026618,0.00026618
9,6693.41,0.92312,1.58039,0.99793,0.72081,0.30805,0.32761,0.20842,1.0585,1.61199,1.03986,0.000263349,0.000263349,0.000263349
10,6809.26,0.9159,1.41352,0.99536,0.75665,0.31401,0.35789,0.23168,1.03625,1.37516,1.0309,0.000260517,0.000260517,0.000260517
11,6936.91,0.90416,1.30882,0.98693,0.82371,0.3147,0.37717,0.23177,1.06796,1.3956,1.05533,0.000257686,0.000257686,0.000257686
12,7051.45,0.89445,1.2548,0.98821,0.69922,0.28211,0.33614,0.21645,1.12456,1.43408,1.0785,0.000254855,0.000254855,0.000254855
13,7170.21,0.87178,1.13761,0.96583,0.80085,0.36589,0.45145,0.29016,1.03876,1.29529,1.06134,0.000252023,0.000252023,0.000252023
14,7288.05,0.83123,1.08044,0.9587,0.89673,0.33094,0.50119,0.32547,1.00266,1.16019,1.03087,0.000249192,0.000249192,0.000249192
15,7403.61,0.84274,1.00132,0.95927,0.72819,0.39532,0.50605,0.32414,1.04996,1.28896,1.04125,0.00024636,0.00024636,0.00024636
16,7513.37,0.82528,0.96296,0.95738,0.63614,0.53195,0.59965,0.39814,1.05097,1.07897,1.05104,0.000243529,0.000243529,0.000243529
17,7630.54,0.80314,0.90796,0.94545,0.6966,0.50391,0.57944,0.404,0.95211,1.03063,0.99618,0.000240698,0.000240698,0.000240698
18,7750.02,0.81812,0.88018,0.94734,0.64716,0.54788,0.60946,0.41042,0.99934,1.07654,1.02039,0.000237866,0.000237866,0.000237866
19,7864.84,0.80525,0.85062,0.94698,0.71347,0.49523,0.60533,0.36751,1.05399,0.97303,1.04671,0.000235035,0.000235035,0.000235035
20,7988.81,0.78643,0.82284,0.93784,0.68617,0.57195,0.66318,0.46177,0.9472,0.98662,0.99487,0.000232203,0.000232203,0.000232203
21,8107.01,0.80994,0.81112,0.953,0.62046,0.63483,0.67461,0.46304,0.96632,0.95232,1.01689,0.000229372,0.000229372,0.000229372
22,8219.38,0.7745,0.78996,0.93414,0.63675,0.64773,0.70027,0.47824,0.96959,0.91786,1.0026,0.000226541,0.000226541,0.000226541
23,8329.8,0.75228,0.73544,0.92245,0.67697,0.69445,0.74541,0.52756,0.94202,0.92367,0.99992,0.000223709,0.000223709,0.000223709
